Stall_Holder_Id,Stall_holder_name,Stall_holder_fullName,Accounting,Aerospace Engineering,Agriculture & Veterinary,Animal Science,Biological Studies,Business Studies,Chemistry,Cinematic & Photography,Civil Engineering,Communication Technology,Computer Science,Dentistry,Design Studies,Drama/Dance,Economics,Education Studies,Electronic & Engineering,Fashion Technology,Finance,Fine Art,Food & Beverages Studies,Hospitality & Catering,Human Resource Management,Language,Law,Logistic Engineering,Management Studies,Manufacturing,Marketing,Mathematics & Statistics,Media Studies,Medicine,Music,Naval Engineering,Nursing and Healthcare,Other,Pharmacy,Photography,Politics,Teacher Training,Tourism
52,3WGE,3W Global Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,Overseas Education,",,,,,
443,ABI,A & B International (pvt) Ltd,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,"
120,AMDT,Academy of Multimedia Design & Technology,,,,,,,,"Certificate,Diploma,Foundation Degree,Degree,",,"Certificate,Diploma,Foundation Degree,Degree,",,,"Certificate,Diploma,Foundation Degree,Degree,",,,,,"Certificate,Diploma,Foundation Degree,Degree,",,"Certificate,Diploma,Foundation Degree,Degree,",,,,,,,,,"Certificate,Diploma,Foundation Degree,Degree,",,"Certificate,Diploma,Foundation Degree,Degree,",,,,,"Certificate,Diploma,Foundation Degree,",,"Certificate,Diploma,Foundation Degree,Degree,",,,
541,Accurate International,,"Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,","Certificate,Diploma,Foundation Degree,Degree,Masters,Phd,"
27,Achievers,Achievers Lanka Business School,"CHARTERED INSTITUTE OF MANAGEMENT ACCOUNTANTS (CIMA),",,,,,,,,,,,,,,"CHARTERED INSTITUTE OF MANAGEMENT ACCOUNTANTS (CIMA),",,,,"CHARTERED INSTITUTE OF MANAGEMENT ACCOUNTANTS (CIMA),",,,,,,,"Certificate,Diploma,",,,,,,,,,,,,,,,
420,ACTA,Advanced Construction Training Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,AMASA,Amasa Education Services,"Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Degree,Masters,Phd,","Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,","Diploma,Foundation Degree,Degree,Masters,Phd,"
19,ACHE,American College of Higher Education,"Degree,","Degree,","Degree,","Degree,","Degree,","Diploma,Degree,","Degree,","Degree,","Degree,","Degree,","Diploma,Degree,","Degree,","Degree,","Degree,","Degree,","Diploma,Degree,","Degree,","Degree,","Degree,","Degree,",,"Diploma,","Diploma,Degree,","Degree,","Degree,","Degree,","Diploma,Degree,","Degree,","Diploma,Degree,","Degree,","Degree,","Degree,",,,,,"Degree,","Degree,","Degree,","Diploma,Degree,","Diploma,Degree,"
218,AOD,AOD International Design Campus,,,,,,,,,,,,,"Degree,",,,,,"Degree,",,,,,,,,,,,,,,,,,,,,,,,
438,Apex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
